Zip,state,Subregion annual CO2e output emission rate (lb/kWh)
2534,MA,0.727603
2535,MA,0.727603
2536,MA,0.727603
2537,MA,0.727603
2538,MA,0.727603
2539,MA,0.727603
2540,MA,0.727603
2541,MA,0.727603
2542,MA,0.727603
2543,MA,0.727603
2552,MA,0.727603
2553,MA,0.727603
2554,MA,0.727603
2556,MA,0.727603
2557,MA,0.727603
2558,MA,0.727603
2559,MA,0.727603
2561,MA,0.727603
2562,MA,0.727603
2563,MA,0.727603
2564,MA,0.727603
2565,MA,0.727603
2568,MA,0.727603
2571,MA,0.727603
2573,MA,0.727603
2574,MA,0.727603
2575,MA,0.727603
2576,MA,0.727603
2584,MA,0.727603
2601,MA,0.727603
2630,MA,0.727603
2631,MA,0.727603
2632,MA,0.727603
2633,MA,0.727603
2634,MA,0.727603
2635,MA,0.727603
2637,MA,0.727603
2638,MA,0.727603
2639,MA,0.727603
2641,MA,0.727603
2642,MA,0.727603
2643,MA,0.727603
2644,MA,0.727603
2645,MA,0.727603
2646,MA,0.727603
2648,MA,0.727603
2649,MA,0.727603
2650,MA,0.727603
2651,MA,0.727603
2652,MA,0.727603
2653,MA,0.727603
2655,MA,0.727603
2657,MA,0.727603
2659,MA,0.727603
2660,MA,0.727603
2661,MA,0.727603
2662,MA,0.727603
2663,MA,0.727603
2664,MA,0.727603
2666,MA,0.727603
2667,MA,0.727603
2668,MA,0.727603
2669,MA,0.727603
2670,MA,0.727603
2671,MA,0.727603
2672,MA,0.727603
2673,MA,0.727603
2675,MA,0.727603
2702,MA,0.727603
2703,MA,0.727603
2712,MA,0.727603
2713,MA,0.727603
2714,MA,0.727603
2715,MA,0.727603
2717,MA,0.727603
2718,MA,0.727603
2719,MA,0.727603
2720,MA,0.727603
2721,MA,0.727603
2722,MA,0.727603
2723,MA,0.727603
2724,MA,0.727603
2725,MA,0.727603
2726,MA,0.727603
2738,MA,0.727603
2739,MA,0.727603
2740,MA,0.727603
2741,MA,0.727603
2742,MA,0.727603
2743,MA,0.727603
2744,MA,0.727603
2745,MA,0.727603
2746,MA,0.727603
2747,MA,0.727603
2748,MA,0.727603
2760,MA,0.727603
2761,MA,0.727603
2762,MA,0.727603
2763,MA,0.727603
2764,MA,0.727603
2766,MA,0.727603
2767,MA,0.727603
2768,MA,0.727603
2769,MA,0.727603
2770,MA,0.727603
2771,MA,0.727603
2777,MA,0.727603
2779,MA,0.727603
2780,MA,0.727603
2783,MA,0.727603
2790,MA,0.727603
2791,MA,0.727603
2801,RI,0.727603
2802,RI,0.727603
2804,RI,0.727603
2806,RI,0.727603
2807,RI,0.727603
2808,RI,0.727603
2809,RI,0.727603
2812,RI,0.727603
2813,RI,0.727603
2814,RI,0.727603
2815,RI,0.727603
2816,RI,0.727603
2817,RI,0.727603
2818,RI,0.727603
2822,RI,0.727603
2823,RI,0.727603
2824,RI,0.727603
2825,RI,0.727603
2826,RI,0.727603
2827,RI,0.727603
2828,RI,0.727603
2829,RI,0.727603
2830,RI,0.727603
2831,RI,0.727603
2832,RI,0.727603
2833,RI,0.727603
2835,RI,0.727603
2836,RI,0.727603
2837,RI,0.727603
2838,RI,0.727603
2839,RI,0.727603
2840,RI,0.727603
2841,RI,0.727603
2842,RI,0.727603
2852,RI,0.727603
2857,RI,0.727603
2858,RI,0.727603
2859,RI,0.727603
2860,RI,0.727603
2861,RI,0.727603
2862,RI,0.727603
2863,RI,0.727603
2864,RI,0.727603
2865,RI,0.727603
2871,RI,0.727603
2872,RI,0.727603
2873,RI,0.727603
2874,RI,0.727603
2875,RI,0.727603
2876,RI,0.727603
2877,RI,0.727603
2878,RI,0.727603
2879,RI,0.727603
2880,RI,0.727603
2881,RI,0.727603
2882,RI,0.727603
2883,RI,0.727603
2885,RI,0.727603
2886,RI,0.727603
2887,RI,0.727603
2888,RI,0.727603
2889,RI,0.727603
2891,RI,0.727603
2892,RI,0.727603
2893,RI,0.727603
2894,RI,0.727603
2895,RI,0.727603
2896,RI,0.727603
2898,RI,0.727603
2901,RI,0.727603
2902,RI,0.727603
2903,RI,0.727603
2904,RI,0.727603
2905,RI,0.727603
2906,RI,0.727603
2907,RI,0.727603
2908,RI,0.727603
2909,RI,0.727603
2910,RI,0.727603
2911,RI,0.727603
2912,RI,0.727603
2914,RI,0.727603
2915,RI,0.727603
2916,RI,0.727603
2917,RI,0.727603
2918,RI,0.727603
2919,RI,0.727603
2920,RI,0.727603
2921,RI,0.727603
2940,RI,0.727603
3031,NH,0.727603
3032,NH,0.727603
3033,NH,0.727603
3034,NH,0.727603
3036,NH,0.727603
3037,NH,0.727603
3038,NH,0.727603
3040,NH,0.727603
3041,NH,0.727603
3042,NH,0.727603
3043,NH,0.727603
3044,NH,0.727603
3045,NH,0.727603
3046,NH,0.727603
3047,NH,0.727603
3048,NH,0.727603
3049,NH,0.727603
3051,NH,0.727603
3052,NH,0.727603
3053,NH,0.727603
3054,NH,0.727603
3055,NH,0.727603
3057,NH,0.727603
3060,NH,0.727603
3061,NH,0.727603
3062,NH,0.727603
3063,NH,0.727603
3064,NH,0.727603
3070,NH,0.727603
3071,NH,0.727603
3073,NH,0.727603
3076,NH,0.727603
3077,NH,0.727603
3079,NH,0.727603
3082,NH,0.727603
3084,NH,0.727603
3086,NH,0.727603
3087,NH,0.727603
3101,NH,0.727603
3102,NH,0.727603
3103,NH,0.727603
3104,NH,0.727603
3105,NH,0.727603
3106,NH,0.727603
3107,NH,0.727603
3108,NH,0.727603
3109,NH,0.727603
3110,NH,0.727603
3111,NH,0.727603
3215,NH,0.727603
3216,NH,0.727603
3217,NH,0.727603
3218,NH,0.727603
3220,NH,0.727603
3221,NH,0.727603
3222,NH,0.727603
3223,NH,0.727603
